case_number,claimant,respondents,status
ARB(AF)/20/1,EnviroGold (Las Lagunas) Limited,Dominican Republic,Pending
ARB/20/1,United Agencies Limited SA,People’s Democratic Republic of Algeria,Concluded
ARB/19/35,Marko Mihaljevic,Republic of Croatia,Concluded
ARB/19/34,"Amec Foster Wheeler USA Corporation, Process Consultants, Inc., and Joint Venture Foster Wheeler USA Corporation and Process Consultants, Inc.",Republic of Colombia,Pending
ARB/19/33,Société Générale S.A.,Republic of Croatia,Pending
ARB/19/32,DSG Yapi Sanayi Ticaret Anonim Sirketi,Kingdom of Saudi Arabia,Concluded
ARB/19/31,Gerald International Limited,Republic of Sierra Leone,Concluded
ARB/19/30,VM Solar Jerez GmbH and others,Kingdom of Spain,Pending
ARB/19/29,"Strabag SE, Erste Nordsee-Offshore Holding GmbH and Zweite Nordsee-Offshore Holding GmbH",Federal Republic of Germany,Pending
ARB/19/28,Latam Hydro LLC and CH Mamacocha S.R.L.,Republic of Peru,Pending
ARB/19/27,CTIP Oil & Gas International Limited,Arab Republic of Egypt,Pending
ARB/19/26,Terence Highlands,United Mexican States,Pending
ARB/19/25,Orazul International España Holdings S.L.,Argentine Republic,Pending
ARB/19/24,AAN Digital Services Holding Company (KSC),Democratic Republic of the Congo,Concluded
ARB/19/23,"Sapec, S.A.",Kingdom of Spain,Pending
ARB/19/22,"Glencore International A.G., C. I. Prodeco S.A., and Sociedad Portuaria Puerto Nuevo S.A.",Republic of Colombia,Pending
ARB/19/21,Petrochemical Holding GmbH,Romania,Pending
ARB/19/20,Ayat Nizar Raja Sumrain and others,State of Kuwait,Concluded
ARB/19/19,IC Power Ltd and Kenon Holdings Ltd,Republic of Peru,Pending
ARB/19/18,Niko Exploration (Block 9) Ltd.,People’s Republic of Bangladesh and Bangladesh Oil Gas and Mineral Corporation,Pending
ARB/19/17,"Richard N. Westbury, Paul D. Hinks and Symbion Power Tanzania Limited",United Republic of Tanzania,Concluded
ARB/19/16,Latin American Regional Aviation Holding S. de R.L.,Oriental Republic of Uruguay,Pending
ARB/19/15,Axiata Investments (UK) Limited and Ncell Private Limited,Nepal,Concluded
ARB/19/14,Impresa Pizzarotti & C. S.p.A.,Kingdom of Morocco,Concluded
ARB/19/13,Alejandro Diego Díaz Gaspar,Republic of Costa Rica,Concluded
ARB/19/12,Kornikom EOOD,Republic of Serbia,Pending
ARB/19/11,Nationale-Nederlanden Holdinvest B.V. and others,Argentine Republic,Pending
ARB/19/10,Shokat Mohammed Dalal,United Arab Emirates,Concluded
ARB/19/9,Artem Skubenko and others,Republic of North Macedonia,Pending
ARB/19/8,Ayoub-Farid Michel Saab,United Republic of Tanzania,Concluded
ARB/19/7,Petroceltic Holdings Limited and Petroceltic Resources Limited,Arab Republic of Egypt,Concluded
ARB/19/6,Angel Samuel Seda and others,Republic of Colombia,Pending
ARB/19/5,Enel Fortuna S.A.,Republic of Panama,Concluded
ARB/19/4,"Canepa Green Energy Opportunities I, S.à r.l. and Canepa Green Energy Opportunities II, S.à r.l.",Kingdom of Spain,Pending
ARB(AF)/19/3,"The Williams Companies International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited",Bolivarian Republic of Venezuela,Pending
ARB/19/3,Energy Utility Corporation Limited,KivuWatt Limited,Concluded
ARB(AF)/19/2,Gustavo Maeso Lando,Bolivarian Republic of Venezuela,Pending
ARB/19/2,Scholz Holding GmbH,Kingdom of Morocco,Concluded
CONC/19/1,La Camerounaise des Eaux (CDE),Republic of Cameroon and Cameroon Water Utilities Cooperation (CAMWATER),Concluded
ARB(AF)/19/1,Alois Schönberger,Republic of Tajikistan,Pending
ARB/19/1,"Legacy Vulcan, LLC",United Mexican States,Pending
ARB/18/49,Smurfit Holdings B.V.,Bolivarian Republic of Venezuela,Pending
ARB/18/48,Hydrika 1 S.A.C. and others,Republic of Peru,Concluded
ARB/18/47,Rami Levy and others,Republic of Bulgaria,Pending
ARB/18/46,"Westwater Resources, Inc.",Republic of Türkiye,Pending
ARB/18/45,European Solar Farms A/S,Kingdom of Spain,Pending
ARB/18/44,SAUR and STEREAU,People’s Democratic Republic of Algeria,Concluded
ARB/18/43,"Daniel W. Kappes and Kappes, Cassiday & Associates",Republic of Guatemala,Pending
ARB/18/42,EBL (Genossenschaft Elektra Baselland) and Tubo Sol PE2 S.L.,Kingdom of Spain,Pending
ARB/18/41,Alexander Nelin,Republic of Cyprus,Concluded
ARB/18/40,"Inversiones Continental (Panamá), S.A.",Republic of Honduras,Pending
ARB/18/39,KLS Energy Lanka Sdn. Bhd. and KLS Energy Lanka (Private) Ltd,Democratic Socialist Republic of Sri Lanka,Pending
ARB/18/38,"Talal Al Awamleh, Arab Telemedia Services LLC and Ain Telemedia Studios LLC",State of Qatar,Concluded
ARB/18/37,Oļegs Roščins,Republic of Lithuania,Concluded
ARB/18/36,Société d’Energie et d’Eau du Gabon and Veolia Africa,"Gabonese Republic and Société de Patrimoine du service public de l’eau potable, de l’énergie électrique et de l’assainissement",Concluded
ARB/18/35,Dirk Herzig as Insolvency Administrator over the Assets of Unionmatex Industrieanlagen GmbH,Turkmenistan,Pending
ARB/18/34,SECE İnşaat ve Ticaret A.Ş.,Turkmenistan,Concluded
ARB/18/33,"GBM Global, S.A. de C.V., Fondo de Inversión de Renta Variable and others",Kingdom of Spain,Concluded
ARB/18/32,AS Windoor,Republic of Kazakhstan,Pending
ARB/18/31,International Holding Project Group and others,Arab Republic of Egypt,Pending
